marka,seri,model,kasa_tipi
Toyota,Auris,1.6 Touch,Hatchback/5
Volkswagen,Tayron,1.5 e-TSI Life,SUV
Renault,Clio,1.5 dCi Fidji,Sedan
Toyota,Hilux,2.4 D-4D 4x4 Adventure,SUV
Opel,Zafira,1.6 CDTI Enjoy,MPV
BMW,4 Serisi,418d Gran Coupe Sport Plus,Coupe
Hyundai,Accent Blue,1.4 CVVT Biz,Sedan
Mercedes - Benz,E,250 CDI Elite Avantgarde,Sedan
BMW,3 Serisi,330i Standart,Sedan
BMW,4 Serisi,418i Gran Coupe Sport Plus,Coupe
Audi,A4,A4 Avant 2.0 TFSI Quattro,Station wagon
Opel,Astra,1.3 CDTI Enjoy Elegance,Sedan
Porsche,Cayman,Bilinmiyor,Coupe
Volvo,XC70,2.5 T,Crossover
Volvo,S60,1.5 T3 Premium,Sedan
Alfa Romeo,MiTo,1.4 T MultiAir,Hatchback/3
Hyundai,Accent,1.3 GLS,Hatchback/5
Volkswagen,Amarok,2.0 TDI Style,Pick-Up
Opel,Insignia,1.6 Cosmo Sports Tourer,Station wagon
Honda,Prelude,2.2 VTi,Coupe
Maserati,Quattroporte,3.0 D,Sedan
BMW,5 Serisi,520d xDrive Special Edition Luxury Line,Sedan
Maserati,GranTurismo,4.7 S,Coupe
Audi,A3,A3 Sportback 1.8 Attraction,Hatchback/3
Ford,Mondeo,1.6 Selective,Station wagon
Alfa Romeo,Giulietta,1.6 JTD Progression Plus,Hatchback/5
Chrysler,PT Cruiser,2.0 Limited,Hatchback/5
Opel,Insignia,1.6 CDTI Innovation,Hatchback/5
Audi,A4,A4 Avant 1.8 TFSI,Station wagon
Citroen,C4 Picasso,1.6 BlueHDi Shine,MPV
Renault,R 19,1.4 RN,Hatchback/5
Mini,Cooper S,1.6 Coupe,Coupe
Audi,A3,A3 Sedan 30 TFSI Design,Sedan
Dacia,Sandero Stepway,1.0 Tce Prestige,Hatchback/5
Citroen,C5,2.0 HDi SX PK,Sedan
Volkswagen,Passat,2.0 TDi Comfortline,Station wagon
Citroen,Xsara,Picasso 1.6 HDi,MPV
Dacia,Jogger,1.0 Eco-G Extreme,Station wagon
Opel,Insignia,2.0 CDTI Cosmo,Station wagon
Hyundai,Matrix,1.5 CRDi Team,MPV
BMW,5 Serisi,530i xDrive Executive Prestige,Sedan
Volkswagen,Passat,1.8 TSi Comfortline,Sedan
Hyundai,Accent,1.5 LX,Sedan
Kia,Picanto,1.1 EX,Hatchback/5
BMW,7 Serisi,730i Long M Excellence,Sedan
BMW,7 Serisi,740d,Sedan
DS Automobiles,DS7 Crossback,1.5 BlueHDI So Chic Opera,SUV
Toyota,Auris,1.4 D-4D Comfort Plus,Hatchback/5
Fiat,Punto,Grande 1.4 Starjet Dynamic,Hatchback/3
Renault,Clio,1.5 dCi GT Line,Hatchback/5
Chevrolet,Aveo,1.4 SE,Hatchback/3
Jeep,Renegade,1.3 Turbo Longitude,SUV
Kia,Rio,1.4 GSL Trend,Hatchback/5
Mercedes - Benz,C,C 180 BlueEFFICIENCY AMG,Station wagon
Toyota,Yaris,1.5 Hybrid Flame,Hatchback/5
Mini,Cooper,1.6 Cabrio,Cabrio
Mini,Cooper Clubman,1.5 Pepper,Station wagon
Mitsubishi,Space Star,1.8 GDI,MPV
Renault,Clio,1.5 dCi Icon,Station wagon
Mini,Cooper Clubman,1.5 Türkiye Paketi,Station wagon
Fiat,Palio,1.4 Fire Dynamic,Hatchback/5
Toyota,Yaris,1.5 Flame X-Pack,Hatchback/5
Honda,S2000,2.0 Vtec,Roadster
Nissan,Micra,1.3 Magic,Hatchback/5
Opel,Astra,1.6 Business,Sedan
Mercedes - Benz,C,C 200 BlueEFFICIENCY Avantgarde,Sedan
Hyundai,i20,1.4 CRDi Jump,Station wagon
Fiat,Palio,1.3 Multijet Dynamic,Hatchback/3
Toyota,Corolla,1.8 Hybrid Dream,Coupe
Peugeot,301,1.6 HDi Access,Sedan
Volkswagen,Passat,2.0 Comfortline,Sedan
Renault,Megane,1.6 Privilege,Station wagon
Mercedes - Benz,C,C 200 D Avantgarde,Sedan
Toyota,Corolla,1.5 Flame,Sedan
Volkswagen,Polo,1.6 TDi Highline,Hatchback/5
Opel,Astra,1.3 CDTI Enjoy 111.Yıl,Hatchback/5
GMC,Sierra,Bilinmiyor,SUV
Mitsubishi,L 200,4x2 Tornado,Hard top
Citroen,C3,1.4 HDi Collection,Hatchback/5
Skoda,Karoq,1.0 TSI Style,SUV
Skoda,Kodiaq,1.5 TSI Sportline,SUV
Fiat,Egea,1.3 Multijet Lounge,Hatchback/5
Alfa Romeo,156,1.6 TS Distinctive,Sedan
Volvo,S40,1.6 D Drive,Sedan
Mercedes - Benz,E,220 CDI BlueEFFICIENCY,Sedan
Audi,A8,3.0 TDI Quattro,Sedan
Alfa Romeo,Junior Ibrida,1.2 Ibrida,SUV
Alfa Romeo,Tonale,1.3 Hybrid Veloce,SUV
Audi,Q7,45 TFSI Quattro,SUV
Aston Martin,Vantage,V8 Vantage,Coupe
Citroen,C3,1.6 Pluriel,-
Alfa Romeo,Giulietta,1.6 JTD Progression,Hatchback/5
Audi,Q3,35 TFSI S Line,SUV
Citroen,C4,1.2 PureTech Feel Bold,Hatchback/5
BMW,X1,20d xDrive X Line,SUV
Opel,Astra,1.6 CDTI Cosmo,Sedan
Seat,Leon,1.6 Style,Hatchback/5
BMW,X1,20d xDrive M Sport,SUV
Hyundai,i20,1.2 D-CVVT Elite,Hatchback/5
BMW,X5,40d xDrive,SUV
Toyota,Corolla,1.8 Hybrid Vision,Sedan
Alfa Romeo,156,1.6 TS,Sedan
Renault,Megane,1.4 T Impressor,Hatchback/5
Alfa Romeo,147,1.6 TS Distinctive,Hatchback/5
Volkswagen,Golf,1.6 Comfortline,Hatchback/3
Chery,Omoda 5 Pro,1.6 T-GDI Exceptional,SUV
Jaguar,XF,3.0 Luxury,Sedan
Volkswagen,Golf,1.6 Pacific,Hatchback/5
Mercedes - Benz,E,250 CDI Premium,Sedan
Chevrolet,Captiva,2.0 D LT Sport,SUV
Ford,EcoSport,1.5 TDCI ST Line,SUV
Toyota,Auris,1.6 Advance,Hatchback/5
Renault,Laguna,1.5 dCi Expression,Hatchback/5
Volkswagen,Touran,1.4 TSi Comfortline,MPV
Toyota,Auris,1.4 D-4D Touch,Hatchback/5
Audi,A1,1.4 TFSI Ambition,Hatchback/5
Kia,Ceed,1.6 CRDi Concept Plus SW,Station wagon
Citroen,C4 Cactus,1.6 e-HDi Shine,Crossover
Volkswagen,Jetta,1.6 Midline,Sedan
Kia,Rio,1.5 Luxury,Hatchback/5
Dacia,Duster,1.3 Tce Expression,SUV
Kia,Cerato,2.0 CRDI EX Comfort,Sedan
Kia,Cerato,1.6 MPI Comfort,Sedan
Citroen,Saxo,1.6 VTS,Hatchback/3
Mini,Cooper,1.5 D Pepper,Hatchback/5
Renault,Latitude,1.5 dCi Expression,Sedan
Opel,Insignia,2.0 CDTI Cosmo,Hatchback/5
Fiat,500 X,1.4 T Cross Plus,Crossover
Kia,Rio,1.4 GSL Basic,Sedan
Volkswagen,Sharan,1.8 T Highline,MPV
Mercedes - Benz,E,300 D AMG,Sedan
Audi,TTS,2.0 TFSI Quattro,Coupe
Volkswagen,Passat,1.6 Comfortline,Sedan
Ford,Kuga,1.5 EcoBoost Trend X,SUV
Kia,Rio,1.4 CVVT Elegance Konfor,Hatchback/5
Mercedes - Benz,S,S 500 500 L,Sedan
Peugeot,307,1.6 Pack,Hatchback/5
Hyundai,Tucson,2.0 CRDi,SUV
Hyundai,Tucson,1.6 CRDi N Line Plus,SUV
Opel,Insignia,1.6 T Edition Elegance,Hatchback/5
Mercedes - Benz,CLA,200 AMG+ 4Matic,Sedan
Kia,Stonic,1.0 T-GDI Elegance Plus,SUV
Opel,Astra,1.3 CDTI Enjoy Active,Hatchback/5
Mini,Cooper,1.5 Signature,Hatchback/5
Ford,Focus,1.6 Ti-VCT Titanium X,Hatchback/5
Volkswagen,Golf,1.6 Trendline,Hatchback/3
Hyundai,Tucson,1.6 T-GDi Power Edition,SUV
Nissan,Micra,1.0 IG-T Visia,Hatchback/5
Renault,Megane,1.5 dCi Sport Tourer GT-Line,Station wagon
Renault,Megane,1.9 DTi Expression,Sedan
Lancia,Ypsilon,1.3 Mjet,Hatchback/5
Mini,Cooper S,1.6,-
Audi,A3,A3 Sedan 1.0 TFSI Sport Line,Sedan
Mini,Cooper,1.5 Pure,Hatchback/3
Volkswagen,Polo,1.4 TSi GTi,Hatchback/3
Jaecoo,J7,1.6 Evolve,SUV
Audi,A4,A4 Sedan 2.0 TFSI Quattro Design,Sedan
Renault,Symbol,0.9 TCe Turbo Touch,Sedan
Kia,Sephia,1.6 GTX,Sedan
Ford,Puma,1.0 EcoBoost Hybrid ST-Line X,SUV
Mitsubishi,Carisma,1.6 GLX,Sedan
Ford,Kuga,1.5 EcoBoost ST Line,SUV
Jaguar,XF,2.7 D Luxury,Sedan
Renault,Megane,1.6 Coupe RN,Coupe
Honda,Civic,1.5 EX,Sedan
Ford,Mondeo,2.0 GLX,Hatchback/5
Nissan,Micra,1.5 dCi Passion,Hatchback/5
Mercedes - Benz,ML,350 CDI,SUV
Mercedes - Benz,GLB,200 Progressive+ 4Matic,SUV
Land Rover,Range Rover Sport,2.0 HSE Plus,SUV
Renault,Megane,1.5 dCi Touch,Station wagon
Mercedes - Benz,GLC,300 D AMG,SUV
Volkswagen,Polo,1.4 Chrome Edition,Hatchback/5
Mazda,MX,MX-5 2.0,Roadster
Peugeot,307,1.6 Premium,Hatchback/5
Volkswagen,Scirocco,1.4 TSi Sportline,Cabrio
Peugeot,106,XN,Hatchback/5
Maserati,Levante,3.0 D,SUV
Lancia,Ypsilon,1.3 Mjet,Hatchback/3
Mini,Cooper,1.5 D Burberry Edition,Hatchback/5
Mini,Cooper,1.6 Cabrio,-
Nissan,Qashqai,1.5 dCi Platinum,SUV
Volkswagen,Jetta,1.6 Exclusive,Sedan
Hyundai,i30,1.5 T-GDI Comfort,Hatchback/5
Ford,Focus,1.6 Ambiente,Station wagon
Renault,Scenic,1.5 dCi Privilege,Hatchback/5
Lancia,Delta,1.6 MJet,Hatchback/5
Renault,Megane,1.5 dCi Sportway,Station wagon
Mitsubishi,Lancer,1.3 Comfort,Sedan
Volkswagen,Jetta,1.4 TSi Tour,Sedan
Ford,Ranger,2.5 TDCi STD,Hard top
Peugeot,3008,1.6 HDi Active,SUV
Opel,Vectra,1.6,Sedan
Volkswagen,New Beetle,1.2 TSi Beetle,Hatchback/3
Peugeot,3008,1.6 e-HDi Allure,SUV
Opel,Astra,1.6 CDTI Excellence,Hatchback/5
Mercedes - Benz,E,250 AMG,Coupe
Peugeot,3008,1.2 PureTech Allure Dynamic,SUV
Mercedes - Benz,B,B 150 Special Edition,MPV
Renault,R 19,1.4 Europa RL,Hatchback/3
Nissan,Almera,1.6 SLX,Sedan
Mercedes - Benz,B,B 160 Sport,MPV
Renault,Safrane,2.0,Hatchback/5
Renault,Scenic,2.0 RXT,MPV
Nissan,Almera,1.4 S,Hatchback/3
Dacia,Sandero,1.0 TCe Essential,Hatchback/5
Renault,Megane,1.6 Coupe Dynamique,Coupe
Kia,Venga,1.4 CRDi EX,MPV
Renault,Megane,1.2 TCe Icon,Sedan
Kia,Sephia,1.5 LS,Sedan
Seat,Ibiza,1.4 Copa,Hatchback/5
Renault,Scenic,2.0 RXT,Hatchback/5
Mercedes - Benz,A,A 180 Style,Hatchback/5
Mercedes - Benz,A,A 180 Progressive,Sedan
Seat,Cordoba,1.4 Reference,Sedan
Opel,Astra,1.6 CDTI Enjoy Active,Hatchback/5
Seat,Tarraco,1.5 TSI FR,SUV
Volkswagen,Beetle,1.6 TDi Design,Hatchback/3
Renault,R 19,1.6 Europa RNA,Sedan
Mercedes - Benz,C,C 180 AMG 9G-Tronic,Coupe
Seat,Cordoba,1.4 Sport,Sedan
Ssangyong,Musso Grand,2.2 D Platinum Plus,Pick-Up
Mercedes - Benz,C,C 200 Kompressor Avantgarde,Sedan
Renault,Clio,1.2 TCE Dynamique,Hatchback/5
Ssangyong,Musso Grand,2.2 D Platinum Plus,SUV
Mercedes - Benz,C,C 180 BlueEfficiency Start,Sedan
BMW,3 Serisi,328i Luxury Line,Sedan
Ford,Kuga,1.5 EcoBoost Style,SUV
Seat,Ibiza,1.2 TSI Sport Tourer Style,Station wagon
Seat,Cordoba,1.6 SX,Coupe
Hyundai,Kona,1.6 T-GDI,SUV
Mercedes - Benz,CLA,200 Urban,Coupe
Mercedes - Benz,CLA,45 S Performance+,Station wagon
Peugeot,307,1.4 Feline,Hatchback/5
Ford,Kuga,1.5 TDCi ST Line,SUV
Seat,Ibiza,1.4 TDI Reference,Hatchback/5
Peugeot,206,1.4 HDi X-Design,Hatchback/5
Seat,Exeo,1.6 Style,Sedan
Mercedes - Benz,CLA,200 Urban,Sedan
Nissan,Micra,1.3 LX,Hatchback/3
Mercedes - Benz,E,200 CGI BlueEFFICIENCY Avantgarde,-
Mercedes - Benz,C,C 220 CDI AMG,Sedan
Volkswagen,Tiguan,1.4 TSI Cup,SUV
Seat,Toledo,1.2 TSI Style,Hatchback/5
Volkswagen,Passat,1.6 TDi BlueMotion,Sedan
Mercedes - Benz,C,C 200 BlueTEC Style,Sedan
Peugeot,308,1.6 HDi Premium Pack,Hatchback/5
Seat,Ibiza,1.2 TSI Copa Plus,Hatchback/5
Honda,Civic,1.6i DTEC Executive,Hatchback/5
Renault,Megane,1.6 Coupe 1.6 e,Coupe
Skoda,Fabia,1.5 TSI Premium,Hatchback/5
Mercedes - Benz,CLS,350 CDI,Coupe
Nissan,Primera,1.6 SLX,Sedan
Seat,Toledo,1.8 Signo,Sedan
Mercedes - Benz,CLA,200 AMG 4Matic,Coupe
MG,EHS,1.5 Phev Luxury,SUV
Volkswagen,Golf,1.9 TDi Comfortline,Hatchback/5
Mazda,3,1.5 SkyActive-G Motion,Hatchback/5
Audi,A3,A3 Sportback 1.6 Sportback Ambition,Hatchback/5
Mercedes - Benz,CLA,180 CDI Style,Coupe
Renault,R 12,Toros,Hatchback/5
BMW,3 Serisi,318i M Plus,Station wagon
Mercedes - Benz,CLA,200 Style,Coupe
Renault,Megane,1.6 CC Privilege,Cabrio
Renault,Clio,1.0 TCe Icon,Hatchback/3
Cupra,Formentor,1.5 eHybrid Phev Impulse,SUV
BMW,5 Serisi,520d xDrive Pure,Sedan
Seat,Toledo,1.6 TDI Reference,Hatchback/5
Peugeot,307,1.6 HDi XT,Hatchback/5
Nissan,Qashqai+2,1.5 dCi Tekna Pack,SUV
Skoda,Fabia,1.0 GreenTec Premium,Hatchback/5
Peugeot,206,1.4 Fever,Hatchback/5
Honda,Civic,1.6i DTEC Premium,Sedan
Dacia,Duster,1.0 Tce Essential,SUV
Renault,Kadjar,1.3 TCE Touch Roof,SUV
Seat,Ibiza,1.4 Sport,Hatchback/3
Opel,Meriva,1.3 DTI Essentia,MPV
BMW,3 Serisi,320d Advantage,Sedan
Skoda,Fabia,1.2 Dinamik,Hatchback/5
Volkswagen,Polo,1.4 Cross,Hatchback/5
Skoda,Octavia,1.5 Mhev Prestige,Sedan
Skoda,Fabia,1.4 Choice,Hatchback/5
Hyundai,Getz,1.3 GLS Style,Hatchback/5
Toyota,Corolla,1.6 XEi,Station wagon
Volvo,S60,1.6 T4 Premium,Sedan
Opel,Astra,1.6 CDTI Dynamic,Sedan
BMW,X1,16d sDrive Premium Line,SUV
Honda,Civic,1.4 Sport,Hatchback/5
BMW,X3,20d,SUV
Chevrolet,Captiva,2.0 D LT Medium,SUV
Seat,Cordoba,1.4 Stylance,Sedan
Ford,Fiesta,1.4 My Fiesta,Hatchback/5
Audi,A6,A6 Sedan 50 TDI Quattro Design,Sedan
Skoda,Kodiaq,1.5 TSI Premium,SUV
BMW,1 Serisi,120i Sport Line,Hatchback/5
Citroen,C4 Grand Picasso,1.6 HDi SXPK,MPV
Opel,Astra,1.7 DTI GL,Sedan
Skoda,Octavia,1.6 TDI Ambiente,Sedan
Ford,Focus,1.6 Trend X,Hatchback/5
Skoda,Felicia,1.6 GLXi,Hatchback/5
Volkswagen,Beetle,1.4 TSi Design,Hatchback/3
Peugeot,206,1.4 Comfort,Hatchback/5
Hyundai,Accent,1.5 1.5i GL,Hatchback/5
Mini,Cooper,1.5 Salt Pepper Chili,Hatchback/3
Peugeot,206,1.4 XT,Hatchback/5
Toyota,Corolla,1.6 Class,Sedan
Peugeot,206,1.4 Comfort,Sedan
Skoda,Forman,GLX,Station wagon
BMW,2 Serisi,216d Gran Coupe First Edition M Sport,Hatchback/5
Nissan,Primera,1.6 Visia,Hatchback/5
Nissan,Almera,1.5 Visia,Sedan
Volkswagen,Jetta,2.0 TDi Comfortline,Sedan
Nissan,Maxima,2.0 QX,Sedan
BMW,X1,16d sDrive Ultimate X-Line,SUV
BMW,4 Serisi,420d xDrive Gran Coupe Modern Line,Coupe
Chevrolet,Cruze,1.4 T Sport,Sedan
Toyota,Avensis,2.0 D-4D,MPV
Ford,Focus,1.6 Ghia,Station wagon
Audi,Q2,30 TDI Sport,SUV
Nissan,Pulsar,1.2 Visia,Hatchback/5
Nissan,Qashqai,1.3 DIG-T Platinum,SUV
Chevrolet,Evanda,2.0 CDX,Sedan
Skoda,SuperB,2.0 TDI Prestige,Sedan
BMW,X3,20d xDrive Comfort,SUV
Hyundai,Accent Era,1.6 Expo Platinum,Sedan
Hyundai,Accent,1.3 GL Active,Sedan
Hyundai,Accent Era,1.6 Mode,Sedan
Nissan,Primera,1.6 Comfort,Hatchback/5
Hyundai,Sonata,2.0 CRDi Style Plus,Sedan
Jeep,Compass,1.5 Hybrid Limited,SUV
Peugeot,207,1.4 VTi Active,Hatchback/5
Citroen,C4 Cactus,1.6 e-HDi Shine,SUV
Fiat,Egea Cross,1.6 Multijet Limited,SUV
Seat,Ibiza,1.4 TDI Stylance,Hatchback/5
Seat,Ibiza,1.6 Stella,Hatchback/3
Opel,Corsa,1.4 Twinport Color Edition,Hatchback/5
Toyota,Corolla,1.4 Terra VVT-i,Hatchback/3
BMW,iX1,Sport Line,SUV
Alfa Romeo,159,1.9 JTD Distinctive Plus,Sedan
Seat,Leon,1.6 TDI X Perience,Station wagon
Smart,ForFour,1.0 Proxy,Hatchback/5
Audi,Q2,30 TDI Design,SUV
Nissan,Primera,2.0 Elegance,Sedan
Skoda,Octavia,1.6 TDI Style,Sedan
Isuzu,D-Max,2.5 4x2,SUV
Volkswagen,Golf,1.5 TSi Highline,Hatchback/5
Volkswagen,Golf,1.6 Highline,Hatchback/5
Nissan,Primera,2.0 SE,Hatchback/5
Volkswagen,Jetta,1.6 TDi Trendline,Station wagon
Renault,R 19,1.6 Europa RTE,Hatchback/5
Skoda,Fabia,1.2 Classic,Station wagon
Audi,TT,2.0 TFSI,Coupe
Ford,Mondeo,2.0 TDCi Ghia,Station wagon
Skoda,SuperB,2.0 TSI Laurin & Klement Crystal,Sedan
Nissan,Navara,2.5 TDI 4x2 SE,Hard top
Fiat,500 Ailesi,500 1.2 8V RockStar Dualogic,Hatchback/3
Suzuki,SX4,GL,Sedan
Tata,Indica,1.4 TDI Comfort,Hatchback/5
Saab,9-5,1.9 TiD Vector,Sedan
Peugeot,308,1.6 HDi Business Line,Hatchback/5
Renault,Clio,1.2 Turbo GT Line,Hatchback/5
Fiat,Panda,1.2 Fire Urban,Hatchback/5
Seat,Leon,1.4 E-Hibrit,Hatchback/5
Citroen,C5 Aircross,1.2 PureTech Live,SUV
Chevrolet,Aveo,1.2 SX,Hatchback/5
Peugeot,206,1.4 X-Design,Station wagon
Tofaş,Kartal,1.6,Station wagon
Audi,Q8 E-Tron,Advanced,SUV
Skoda,Octavia,1.0 e-Tec Elite,Sedan
Peugeot,206+,1.4 HDi Urban Move,Hatchback/5
Alfa Romeo,Giulia,2.0 T Veloce,Sedan
Seat,Toledo,1.4 TSI Reference,Hatchback/5
Fiat,Punto,EVO 1.3 Multijet My Life,Hatchback/5
Opel,Astra,1.4 T Cosmo,Station wagon
Suzuki,Alto,1.0 GL,Hatchback/5
Suzuki,Maruti,800,Hatchback/5
Fiat,Punto,1.2 Dynamic,Hatchback/5
Chevrolet,Spark,1.0,Hatchback/5
Opel,Vectra,2.2 Elegance,Sedan
Audi,A6,A6 Avant 45 TFSI Quattro Sport,Station wagon
Peugeot,308,1.6 BlueHdi Allure,Hatchback/5
Skoda,Octavia,1.6 TDI Optimal,Sedan
Hyundai,Accent Era,1.5 CRDi-VGT Eco,Sedan
Opel,Insignia,1.6 Edition,Hatchback/5
Citroen,C3,1.4 SensoDrive,Hatchback/5
Opel,Astra,1.6 CDTI Business,Hatchback/5
Tesla,Model S,75D,Sedan
Seat,Ibiza,1.4 TDI Signo,Hatchback/5
Citroen,Xsara,Picasso 2.0 HDi,MPV
Volvo,S60,1.6 D,Station wagon
Dacia,Duster,1.6 Comfort,SUV
Skoda,Octavia,1.9 TDI Elegance,Hatchback/5
Peugeot,508,1.6 BlueHDi Access,Sedan
Ford,Kuga,1.6 EcoBoost Trend X,SUV
Alfa Romeo,Giulietta,1.6 JTDM-2 Sprint,Hatchback/5
Opel,Insignia,1.6 T Sport,Sedan
Volkswagen,Golf,1.4 TSi Comfortline,Hatchback/3
Skoda,Octavia,1.5 e-Tec Scout,Station wagon
Opel,Astra-e,GS,Hatchback/5
Toyota,Corolla,1.6 GL,Sedan
Kia,Niro,Niro EV Elegance,SUV
Citroen,ZX,1.4 Avantage,Hatchback/5
Ford,Explorer,4.0 XLT,SUV
Citroen,C4 Grand Picasso,1.6 HDi VTRPK,MPV
Volvo,V40,1.6 D R-Design,Hatchback/5
Opel,Astra,E Ultimate,Hatchback/5
Citroen,C5,1.6 HDi Dynamique,Sedan
Citroen,C5,1.6 THP Dynamique,Sedan
Toyota,Avensis,1.6 D-4D Premium,Sedan
Dacia,Duster,1.5 BlueDCI Essential,SUV
Volvo,V40 Cross Country,1.5 T3 Advance,Hatchback/5
Hyundai,i20 Active,1.4 MPi Elite Smart,Hatchback/5
Peugeot,308,1.2 PureTech Access,Hatchback/5
Toyota,Carina,2.0,Sedan
Tesla,Model Y,Standart Range,Coupe
Volkswagen,Golf,1.4 TSi Midline,Hatchback/5
Volkswagen,Polo,1.0 Style,Hatchback/5
Toyota,Auris,1.4 D-4D Premium,Hatchback/5
Audi,A3,A3 Hatchback 1.4 TFSI Ambition,Hatchback/3
BMW,X1,18i sDrive M Sport,SUV
Opel,Corsa,1.2 T Elegance,Station wagon
Skoda,Rapid,1.0 TSI GreenTec Style,Hatchback/5
Ford,B-Max,1.4 Trend,MPV
Toyota,Avensis,2.0 Elegant,Sedan
Toyota,Corolla,1.8 Hybrid Dream,Station wagon
Dacia,Sandero Stepway,1.0 Tce Extreme,-
Fiat,Albea,1.3 Multijet EL,Hatchback/5
Kia,Cerato,1.6 GSL Premium,Sedan
Lancia,Thema,3.0 CRD,Sedan
Opel,Insignia,1.6 CDTI Excellence Sports Tourer,Station wagon
Mazda,3,1.5 SkyActive-D Reflex,Hatchback/5
Toyota,Yaris,1.4 D-4D Sol Special,Hatchback/5
Skoda,Fabia,1.4 Classic,Sedan
Citroen,C3 Picasso,1.6 e-HDi Confort,MPV
Mercedes - Benz,EQS,580 Heritage Edition,Sedan
Ford,Fiesta,1.6 Comfort,Hatchback/5
Chevrolet,Captiva,2.0 D LTZ,SUV
Peugeot,508,1.6 Puretech Prime,Sedan
Skoda,SuperB,1.6 TDI Prestige,Station wagon
Mazda,2,1.5 Go,Hatchback/5
Seat,Leon,1.6 TDI Style,Station wagon
Hyundai,i20 Active,1.0 T-GDi Elite,Hatchback/5
Volvo,S80,3.2 Executive,Sedan
Ford,B-Max,1.6 TDCi Trend,MPV
BMW,X1,16i sDrive Sport Line,SUV
Alfa Romeo,Giulietta,1.4 TB Progression Plus,Hatchback/5
Volkswagen,Golf,1.6 FSi Midline Plus,Hatchback/5
Kia,Ceed,1.5 T-GDI Elegance,Hatchback/5
Fiat,Stilo,1.6 Actual,Hatchback/5
Volkswagen,Golf,2.0 TDi Comfortline,Hatchback/5
Daihatsu,Terios,1.3 SX,SUV
Renault,Clio,1.5 dCi Grandtour Night & Day,Station wagon
Toyota,Corolla,1.6 Linea Sol,Hatchback/3
Mini,Cooper,1.5 D Türkiye Paketi,Hatchback/5
Opel,Astra,1.2 T GS Line,Hatchback/5
Audi,Q8 Sportback E-Tron,Advanced,SUV
Kia,Cerato,1.5 CRDi LX,Hatchback/5
Mitsubishi,Colt,1.3 Instyle,Hatchback/5
BMW,X6,40d xDrive,SUV
Toyota,Yaris,1.5 Dream Multidrive S,Hatchback/5
Jaguar,XF,2.7 D Premium Luxury,Sedan
Peugeot,206,1.6 XT,Hatchback/5
Audi,Q2,30 TFSI Sport,SUV
Kia,Rio,1.4 EX Comfort,Sedan
Porsche,718,Cayman 4.0 GT4,Coupe
Alfa Romeo,Junior Ibrida,1.2 speciale,SUV
Hyundai,Accent Era,1.4 Eco,Sedan
Citroen,C3,1.2 PureTech Shine Pack,Hatchback/5
Citroen,e-C4 X,Shine Bold,SUV
Volkswagen,Golf,1.4 TSi Fan Edition,Hatchback/5
Ford,Mondeo,2.0 TDCi Style,Sedan
BMW,3 Serisi,328i Technology,Sedan
Honda,CR-V,2.0i ES,SUV
Mercedes - Benz,E,200 Classic,Sedan
Tesla,Model Y,Standart Range,Roadster
Mercedes - Benz,A,A 180 d Style,Sedan
Volkswagen,Jetta,1.6 Comfortline,Sedan
Fiat,Freemont,2.0 Multijet Lounge,SUV
BMW,X5,25d xDrive M Sport,SUV
Mercedes - Benz,S,S 500 500,Sedan
Mercedes - Benz,A,A 180 d Urban,Hatchback/5
Volkswagen,Passat,2.0 FSi Comfortline,Sedan
Citroen,C5 Aircross,1.5 BlueHDI Feel Adventure,SUV
BMW,Z Serisi,Z4 3.0,-
Citroen,C4 Cactus,1.6 BlueHDI Feel,Hatchback/5
BMW,4 Serisi,418d Gran Coupe Ultimate M Sport,Coupe
Citroen,C5 Aircross,1.6 PureTech Shine,SUV
Mercedes - Benz,B,B 180 d Urban,MPV
Mercedes - Benz,A,A 160 Elegance,Hatchback/5
Suzuki,Swift,1.3 GLX,Sedan
Mercedes - Benz,C,C 180 Kompressor Elegance,Sedan
Volkswagen,Golf,1.6 TDi BlueMotion,Hatchback/5
Opel,Insignia,1.5 d Exclusive,Hatchback/5
Mercedes - Benz,E,250 Premium,Sedan
Kia,Ceed,1.6 CRDi Comfort SW,Station wagon
Renault,Megane,1.6 RNA,Sedan
Volkswagen,Polo,1.4 TDi Goal,Hatchback/5
Skoda,Rapid,1.2 TSI GreenTec Ambition,Hatchback/5
Citroen,e-C4 X,Max,SUV
Skoda,Octavia,1.6 Collection Plus,Hatchback/5
Citroen,e-C4 X,Max,Sedan
Kia,Ceed,1.4 Cool Tekno,Hatchback/5
Seat,Cordoba,1.6 Stella,Sedan
Volvo,S90,2.0 D5 Plus Bright,Sedan
DS Automobiles,DS4,1.6 e-HDi D-Style,Hatchback/5
Ford,Focus,1.6 Trend,Hatchback/5
Skoda,Octavia,1.6 TDI Style CR,Station wagon
Renault,R 19,1.4 1.4i,Hatchback/5
Opel,Corsa,1.4 Twinport Enjoy,Hatchback/3
Citroen,C4 Cactus,1.6 BlueHDI Feel,Crossover
BMW,X3,20i sDrive X Line,SUV
Hyundai,Ioniq 6,1.6 GDI Hybrid Elite Plus,Hatchback/5
Ford,Focus,1.0 EcoBoost Active X,Station wagon
Kia,Ceed,1.5 T-GDI Prestige,Station wagon
Renault,Laguna,2.0 RTI,Hatchback/5
Kia,Ceed,1.6 CRDi Cool SW,Station wagon
Ford,Scorpio,2.3 Ghia,Sedan
